obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KRHH,3.17,B,P,5.14,C,S
N.OKMH,3.19,B,P,99.99,*,S
N.KURH,4.79,B,P,7.79,C,S
N.TOHH,5.37,B,P,8.93,C,S
N.HISH,5.70,B,P,9.40,C,S
N.IKNH,6.13,B,P,10.17,C,S
N.SKIH,7.11,B,P,11.83,C,S
N.SYTH,7.40,B,P,12.47,C,S
N.MKWH,7.90,B,P,13.21,C,S
N.HHIH,8.06,B,P,13.57,C,S
N.HRSH,8.37,B,P,14.02,C,S
N.KNSH,8.84,B,P,14.97,C,S
N.TGUH,9.07,B,P,99.99,*,S
N.MYKH,9.55,B,P,16.23,C,S
N.MIHH,9.82,B,P,16.77,C,S
N.MICH,10.28,B,P,17.32,C,S
N.TBEH,10.24,B,P,17.24,C,S
N.TKUH,11.04,B,P,18.57,C,S
N.OOZH,11.47,B,P,19.07,C,S
N.MITH,12.16,B,P,20.52,C,S
N.TKJH,12.32,B,P,20.97,C,S
N.KSAH,12.70,B,P,21.75,C,S
N.IKTH,13.09,B,P,99.99,*,S
N.HSMH,13.49,B,P,22.94,C,S
N.NMKH,14.04,B,P,24.43,C,S
N.TMGH,14.90,B,P,99.99,*,S
N.MISH,15.57,B,P,99.99,*,S
N.MTOH,16.88,B,P,28.93,C,S
N.OOCH,16.98,B,P,29.17,C,S
