obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MTMH,3.56,B,P,5.90,C,S
N.TMGH,3.84,B,P,99.99,*,S
N.HGIH,4.86,B,P,8.06,C,S
N.MICH,7.00,B,P,11.88,C,S
N.NGTH,7.49,B,P,12.65,C,S
N.TKJH,7.68,B,P,12.95,C,S
N.MTOH,7.52,B,P,12.59,C,S
N.HIKH,7.87,B,P,13.49,C,S
N.MITH,8.58,B,P,14.81,C,S
N.HOFH,10.02,B,P,16.87,C,S
N.MKWH,10.17,B,P,17.21,C,S
N.SKIH,10.53,B,P,17.86,C,S
N.MNEH,10.74,B,P,18.27,C,S
N.UBEH,11.67,B,P,19.65,C,S
N.TKUH,12.05,B,P,20.35,C,S
N.KNGH,12.15,B,P,20.85,C,S
N.TYUH,12.47,B,P,21.29,C,S
N.SYTH,13.11,B,P,21.95,C,S
N.HISH,13.78,B,P,23.23,C,S
N.IWAH,14.76,B,P,25.34,C,S
N.OKMH,15.25,B,P,25.95,C,S
N.KKYH,15.06,B,P,25.91,C,S
N.KNSH,16.25,B,P,27.98,C,S
N.KURH,17.80,B,P,30.23,C,S
N.TOHH,17.81,B,P,30.25,C,S
