obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.OOCH,2.87,B,P,4.62,C,S
N.SDAH,3.16,B,P,5.11,C,S
N.YSDH,4.68,B,P,7.60,C,S
N.GOTH,5.79,B,P,9.54,C,S
N.HSMH,6.32,B,P,10.56,C,S
N.KACH,6.12,B,P,10.20,C,S
N.HIRH,6.42,B,P,10.87,C,S
N.IWAH,6.55,B,P,11.03,C,S
N.KTWH,7.52,B,P,12.52,C,S
N.NITH,7.97,B,P,13.30,C,S
N.KNGH,8.41,B,P,14.34,C,S
N.GEIH,9.02,B,P,15.11,C,S
N.KSIH,9.73,B,P,16.00,C,S
N.KSAH,10.85,B,P,17.89,C,S
N.HKTH,10.72,B,P,17.99,C,S
N.SGOH,11.48,B,P,19.57,C,S
N.MITH,12.45,B,P,21.20,C,S
N.TTAH,13.37,B,P,22.82,C,S
N.HHIH,13.85,B,P,23.53,C,S
N.HISH,14.60,B,P,24.71,C,S
N.SKIH,15.98,B,P,27.29,C,S
N.MIHH,16.45,B,P,27.84,C,S
N.HKBH,16.07,B,P,27.62,C,S
N.KURH,16.52,B,P,28.20,C,S
N.YBRH,16.49,B,P,28.16,C,S
