obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.OOCH,2.90,B,P,4.67,C,S
N.SDAH,3.17,B,P,5.25,C,S
N.YSDH,4.94,B,P,8.21,C,S
N.GOTH,5.78,B,P,9.56,C,S
N.HIRH,6.28,B,P,10.43,C,S
N.KACH,6.21,B,P,10.39,C,S
N.HSMH,6.72,B,P,11.35,C,S
N.IWAH,6.69,B,P,11.27,C,S
N.KTWH,8.00,B,P,13.17,C,S
N.NITH,8.26,B,P,13.91,C,S
N.KNGH,8.47,B,P,14.39,C,S
N.GEIH,9.14,B,P,15.47,C,S
N.KSIH,9.66,B,P,16.11,C,S
N.HKTH,10.97,B,P,18.64,C,S
N.KSAH,11.33,B,P,19.31,C,S
N.SGOH,11.91,B,P,20.35,C,S
N.MITH,12.54,B,P,21.17,C,S
N.MHSH,13.55,B,P,23.01,C,S
N.TTAH,13.89,B,P,23.61,C,S
N.HHIH,14.25,B,P,24.38,C,S
N.HISH,14.84,B,P,25.20,C,S
N.SKIH,16.20,B,P,27.64,C,S
N.HKBH,16.56,B,P,28.40,C,S
N.MIHH,16.80,B,P,28.74,C,S
N.YBRH,16.83,B,P,28.77,C,S
N.KURH,16.90,B,P,28.90,C,S
N.AKSH,16.95,B,P,29.05,C,S
N.TMGH,17.24,B,P,99.99,*,S
N.BSEH,17.55,B,P,29.83,C,S
N.NMKH,19.40,B,P,33.23,C,S
