obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HSMH,2.75,B,P,4.44,C,S
N.IWAH,2.78,B,P,4.51,C,S
N.GEIH,3.66,B,P,5.81,C,S
N.YSHH,4.61,B,P,7.48,C,S
N.GOTH,5.14,B,P,8.58,C,S
N.OOCH,5.40,B,P,8.93,C,S
N.HRSH,5.63,B,P,9.31,C,S
N.KNGH,5.73,B,P,9.61,C,S
N.KTWH,6.55,B,P,99.99,*,S
N.TGUH,7.23,B,P,12.09,C,S
N.KSAH,7.51,B,P,12.56,C,S
N.SDAH,8.31,B,P,13.98,C,S
N.YSDH,8.27,B,P,13.88,C,S
N.MITH,8.35,B,P,14.11,C,S
N.HHIH,8.63,B,P,14.48,C,S
N.HISH,8.67,B,P,14.50,C,S
N.SKIH,10.47,B,P,17.73,C,S
N.KURH,10.80,B,P,18.22,C,S
N.KACH,11.23,B,P,18.99,C,S
N.MIHH,11.84,B,P,19.88,C,S
N.OKMH,12.23,B,P,20.68,C,S
N.SGOH,12.86,B,P,21.94,C,S
N.MICH,13.28,B,P,22.43,C,S
N.TTAH,13.78,B,P,23.52,C,S
N.TMGH,13.89,B,P,99.99,*,S
N.HKTH,14.14,B,P,23.90,C,S
