obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HKTH,2.59,B,P,4.31,C,S
N.NITH,2.87,B,P,4.82,C,S
N.HINH,4.44,B,P,7.42,C,S
N.KACH,4.71,B,P,7.93,C,S
N.KSIH,5.48,B,P,8.83,C,S
N.SGOH,5.80,B,P,9.75,C,S
N.MZKH,5.63,B,P,9.54,C,S
N.YSDH,5.79,B,P,9.76,C,S
N.MHSH,6.23,B,P,99.99,*,S
N.HIRH,6.74,B,P,99.99,*,S
N.SDAH,7.38,B,P,12.47,C,S
N.AKSH,8.30,B,P,13.96,C,S
N.TTAH,8.56,B,P,99.99,*,S
N.YBRH,8.46,B,P,14.65,C,S
N.SKGH,9.38,B,P,15.92,C,S
N.HKBH,9.86,B,P,16.95,C,S
N.OOCH,10.56,B,P,17.95,C,S
N.HSMH,11.46,B,P,19.52,C,S
N.KSAH,11.93,B,P,19.99,C,S
N.BSEH,22.08,B,P,99.99,*,S
N.TKBH,13.32,B,P,22.82,C,S
N.IWAH,13.77,B,P,23.46,C,S
N.KNBH,14.51,B,P,24.50,C,S
N.SYOH,15.04,B,P,25.95,C,S
N.CHZH,15.95,B,P,27.40,C,S
N.KNGH,16.39,B,P,28.10,C,S
N.HHIH,16.60,B,P,28.29,C,S
N.NMKH,17.45,B,P,29.54,C,S
N.IAMH,18.43,B,P,31.57,C,S
