obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TKJH,3.16,B,P,5.19,C,S
N.MKWH,4.36,B,P,7.27,C,S
N.MICH,5.06,B,P,8.51,C,S
N.TKUH,4.97,B,P,8.32,C,S
N.HOFH,5.10,B,P,8.57,C,S
N.SYTH,6.16,B,P,10.27,C,S
N.IKNH,6.14,B,P,10.15,C,S
N.MTMH,6.66,B,P,11.34,C,S
N.MTOH,7.10,B,P,11.95,C,S
N.SKIH,7.62,B,P,12.82,C,S
N.HGIH,7.85,B,P,99.99,*,S
N.HIKH,8.49,B,P,14.33,C,S
N.TMGH,8.75,B,P,99.99,*,S
N.UBEH,8.81,B,P,15.07,C,S
N.KNSH,8.98,B,P,15.34,C,S
N.NGTH,10.04,B,P,17.26,C,S
N.OKMH,10.11,B,P,16.99,C,S
N.MNEH,10.35,B,P,17.76,C,S
N.MITH,10.54,B,P,17.81,C,S
N.HISH,10.65,B,P,17.91,C,S
N.TOHH,11.19,B,P,18.88,C,S
N.KURH,13.55,B,P,23.10,C,S
N.AKIH,13.45,B,P,22.83,C,S
N.KKYH,13.66,B,P,23.35,C,S
N.KNGH,14.70,B,P,24.74,C,S
N.YMGH,14.64,B,P,24.77,C,S
N.BZNH,15.01,B,P,25.41,C,S
N.MISH,16.12,B,P,99.99,*,S
N.TBEH,30.42,B,P,99.99,*,S
N.HSMH,17.98,B,P,30.89,C,S
N.NTHH,19.67,B,P,99.99,*,S
N.OOCH,20.16,B,P,34.02,C,S
