obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TMGH,3.87,B,P,6.54,C,S
N.HIKH,4.30,B,P,7.13,C,S
N.MTMH,4.35,B,P,7.23,C,S
N.MICH,4.49,B,P,7.45,C,S
N.MITH,5.34,B,P,8.65,C,S
N.SKIH,6.92,B,P,11.67,C,S
N.TGUH,7.10,B,P,11.85,C,S
N.TKJH,7.41,B,P,12.65,C,S
N.MKWH,7.86,B,P,13.06,C,S
N.HGIH,7.87,B,P,13.43,C,S
N.IKNH,8.88,B,P,14.85,C,S
N.KNGH,9.02,B,P,15.18,C,S
N.HISH,9.76,B,P,16.43,C,S
N.GEIH,9.81,B,P,16.60,C,S
N.MTOH,9.91,B,P,16.86,C,S
N.SYTH,11.10,B,P,99.99,*,S
N.NGTH,11.04,B,P,18.93,C,S
N.TKUH,11.25,B,P,18.97,C,S
N.IWAH,11.32,B,P,19.29,C,S
N.OKMH,11.62,B,P,19.68,C,S
N.UBEH,13.51,B,P,99.99,*,S
N.MNEH,13.60,B,P,23.55,C,S
N.KURH,13.96,B,P,23.51,C,S
N.HSMH,13.94,B,P,24.02,C,S
