obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TMGH,3.84,B,P,99.99,*,S
N.HIKH,4.26,B,P,7.02,C,S
N.MTMH,4.32,B,P,7.19,C,S
N.MICH,4.46,B,P,7.31,C,S
N.MITH,5.27,B,P,8.82,C,S
N.SKIH,6.89,B,P,11.48,C,S
N.TGUH,7.08,B,P,11.91,C,S
N.TKJH,7.48,B,P,12.51,C,S
N.MKWH,7.82,B,P,12.98,C,S
N.HGIH,7.97,B,P,13.45,C,S
N.IKNH,8.83,B,P,99.99,*,S
N.KNGH,8.98,B,P,15.29,C,S
N.HISH,9.69,B,P,16.40,C,S
N.GEIH,9.77,B,P,16.49,C,S
N.MTOH,9.86,B,P,16.76,C,S
N.SYTH,10.91,B,P,18.62,C,S
N.NGTH,10.99,B,P,18.72,C,S
N.TKUH,11.23,B,P,18.93,C,S
N.IWAH,11.30,B,P,19.16,C,S
N.OKMH,11.60,B,P,19.60,C,S
N.UBEH,13.48,B,P,23.17,C,S
N.MNEH,13.51,B,P,23.47,C,S
N.KURH,13.88,B,P,23.39,C,S
N.HSMH,13.88,B,P,23.92,C,S
N.KNSH,14.55,B,P,24.63,C,S
N.TOHH,14.89,B,P,25.25,C,S
N.OOCH,14.74,B,P,25.26,C,S
N.HHIH,15.10,B,P,25.59,C,S
N.TYUH,15.69,B,P,27.02,C,S
N.KSAH,17.39,B,P,29.85,C,S
N.KKYH,17.64,B,P,30.55,C,S
N.MIHH,18.48,B,P,31.50,C,S
N.YSDH,19.00,B,P,32.70,C,S
