obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MNOH,6.60,B,P,11.26,C,S
N.IKWH,6.68,B,P,11.19,C,S
N.SINH,6.87,B,P,11.38,C,S
N.AYKH,7.32,B,P,12.51,C,S
N.SADH,8.09,B,P,13.48,C,S
N.MTYH,8.54,B,P,14.11,C,S
N.KYDH,9.00,B,P,15.06,C,S
N.KHUH,9.18,B,P,15.48,C,S
N.MKIH,9.10,B,P,15.60,C,S
N.NMKH,9.99,B,P,17.26,C,S
N.GHKH,10.17,B,P,17.01,C,S
N.GSIH,10.88,B,P,18.56,C,S
N.KNBH,11.45,B,P,19.46,C,S
N.UUMH,12.15,B,P,20.77,C,S
N.TOKH,12.95,B,P,22.12,C,S
N.TKBH,14.96,B,P,25.71,C,S
N.TBEH,15.55,B,P,26.34,C,S
