obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.68,B,P,4.52,C,S
N.AKSH,3.59,B,P,6.00,C,S
N.KSBH,3.90,B,P,6.42,C,S
N.YBRH,6.00,B,P,10.16,C,S
N.MZKH,9.75,B,P,99.99,*,S
N.KWHH,6.25,B,P,10.59,C,S
N.CHZH,7.32,B,P,12.31,C,S
N.HINH,8.11,B,P,13.72,C,S
N.SYOH,8.59,B,P,14.08,C,S
N.IAMH,8.56,B,P,14.36,C,S
N.MHSH,9.03,B,P,15.44,C,S
N.HKTH,9.31,B,P,15.78,C,S
N.OHAH,10.17,B,P,17.01,C,S
N.HKBH,10.19,B,P,17.36,C,S
N.TKBH,11.04,B,P,18.68,C,S
N.SGOH,10.86,B,P,18.25,C,S
N.TTAH,12.02,B,P,20.45,C,S
N.KSIH,12.51,B,P,21.27,C,S
N.KMGH,12.87,B,P,22.07,C,S
N.SETH,13.71,B,P,23.16,C,S
N.KACH,14.28,B,P,24.23,C,S
N.SGUH,14.85,B,P,24.87,C,S
N.HNSH,15.10,B,P,25.31,C,S
N.YMSH,15.10,B,P,25.51,C,S
N.KAMH,17.58,B,P,30.01,C,S
N.UUMH,19.65,B,P,33.61,C,S
