obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HKTH,2.30,B,P,3.73,C,S
N.HINH,3.70,B,P,6.22,C,S
N.MZKH,3.69,B,P,6.12,C,S
N.MHSH,4.38,B,P,7.53,C,S
N.NITH,4.72,B,P,7.94,C,S
N.KSIH,5.54,B,P,9.41,C,S
N.AKSH,6.02,B,P,10.05,C,S
N.SGOH,6.52,B,P,10.99,C,S
N.KACH,6.29,B,P,10.60,C,S
N.YBRH,7.28,B,P,99.99,*,S
N.SKGH,7.48,B,P,12.62,C,S
N.HIRH,8.10,B,P,99.99,*,S
N.YSDH,7.94,B,P,13.43,C,S
N.TTAH,9.19,B,P,15.58,C,S
N.HKBH,9.75,B,P,16.65,C,S
N.OOCH,12.83,B,P,21.91,C,S
N.TKBH,12.94,B,P,99.99,*,S
N.BSEH,13.66,B,P,23.18,C,S
N.KSAH,13.80,B,P,99.99,*,S
N.HSMH,13.65,B,P,23.31,C,S
N.SYOH,13.85,B,P,99.99,*,S
N.CHZH,14.39,B,P,99.99,*,S
N.KNBH,15.44,B,P,26.32,C,S
N.IWAH,15.92,B,P,27.42,C,S
N.OHAH,16.48,B,P,99.99,*,S
N.IAMH,16.51,B,P,27.94,C,S
N.KMGH,18.04,B,P,99.99,*,S
N.NMKH,18.53,B,P,99.99,*,S
