obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.69,B,P,4.38,C,S
N.KSBH,3.52,B,P,5.74,C,S
N.AKSH,4.06,B,P,6.55,C,S
N.YBRH,5.71,B,P,9.56,C,S
N.KWHH,6.05,B,P,10.11,C,S
N.MZKH,5.88,B,P,9.93,C,S
N.CHZH,6.89,B,P,11.69,C,S
N.SYOH,8.05,B,P,13.09,C,S
N.HINH,8.07,B,P,13.63,C,S
N.IAMH,8.55,B,P,14.41,C,S
N.MHSH,9.48,B,P,16.08,C,S
N.HKTH,9.37,B,P,16.09,C,S
N.OHAH,9.65,B,P,16.55,C,S
N.HKBH,9.83,B,P,16.71,C,S
N.TKBH,10.52,B,P,17.79,C,S
N.SGOH,10.82,B,P,18.38,C,S
N.TTAH,11.82,B,P,19.98,C,S
N.KMGH,12.37,B,P,20.98,C,S
N.KSIH,12.95,B,P,22.03,C,S
N.SETH,13.09,B,P,22.20,C,S
N.SGUH,14.16,B,P,24.22,C,S
N.HNSH,14.44,B,P,24.69,C,S
N.KACH,14.42,B,P,24.58,C,S
N.KAMH,17.34,B,P,29.20,C,S
N.UUMH,19.06,B,P,32.65,C,S
