obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KTWH,3.05,B,P,99.99,*,S
N.YSDH,3.75,B,P,6.14,C,S
N.NITH,5.03,B,P,8.46,C,S
N.SDAH,5.62,B,P,9.32,C,S
N.JNSH,5.82,B,P,9.73,C,S
N.HSMH,5.74,B,P,9.72,C,S
N.SGOH,6.45,B,P,10.89,C,S
N.KSAH,6.60,B,P,11.15,C,S
N.KACH,6.50,B,P,10.93,C,S
N.OOCH,6.86,B,P,11.39,C,S
N.HKTH,7.54,B,P,12.70,C,S
N.TTAH,7.99,B,P,13.46,C,S
N.IWAH,8.57,B,P,14.37,C,S
N.KSIH,9.96,B,P,16.74,C,S
N.HKBH,10.82,B,P,18.36,C,S
N.HHIH,10.92,B,P,18.54,C,S
N.BSEH,11.46,B,P,19.42,C,S
N.KNGH,11.62,B,P,19.71,C,S
N.KNBH,11.74,B,P,19.91,C,S
N.MHSH,12.03,B,P,20.61,C,S
N.YBRH,11.79,B,P,20.21,C,S
N.MIHH,12.33,B,P,20.93,C,S
N.AKSH,13.80,B,P,23.29,C,S
N.NMKH,13.73,B,P,23.52,C,S
N.SKGH,14.04,B,P,24.02,C,S
N.HISH,14.12,B,P,23.94,C,S
N.KURH,14.39,B,P,24.56,C,S
N.TKBH,14.49,B,P,24.54,C,S
N.MITH,14.73,B,P,25.15,C,S
N.SKIH,16.37,B,P,28.16,C,S
