obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MHRH,3.57,B,P,5.87,C,S
N.WKYH,5.03,B,P,8.37,C,S
N.TJRH,7.04,B,P,11.76,C,S
N.KKGH,8.10,B,P,13.56,C,S
N.UUMH,8.48,B,P,14.33,C,S
N.NKMH,9.51,B,P,15.72,C,S
N.TOKH,9.92,B,P,16.46,C,S
N.KNHH,9.57,B,P,16.26,C,S
N.TJOH,10.34,B,P,17.31,C,S
N.HRKH,10.62,B,P,17.56,C,S
N.HNSH,10.96,B,P,18.64,C,S
N.SGUH,11.08,B,P,18.62,C,S
N.MKIH,11.41,B,P,19.27,C,S
N.YMSH,12.02,B,P,20.39,C,S
N.KAMH,13.10,B,P,22.00,C,S
N.TKBH,17.44,B,P,29.38,C,S
N.CHZH,18.28,B,P,30.66,C,S
