obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.TGUH,3.40,B,P,5.47,C,S
N.HRSH,3.89,B,P,6.38,C,S
N.GEIH,4.53,B,P,7.50,C,S
N.HISH,5.01,B,P,8.23,C,S
N.MITH,5.42,B,P,8.97,C,S
N.HIKH,5.46,B,P,9.12,C,S
N.SKIH,5.49,B,P,9.15,C,S
N.KNGH,6.30,B,P,10.65,C,S
N.IWAH,6.37,B,P,10.78,C,S
N.YSHH,6.74,B,P,11.32,C,S
N.HSMH,7.96,B,P,13.42,C,S
N.MICH,7.94,B,P,13.51,C,S
N.OKMH,8.21,B,P,13.77,C,S
N.KURH,8.55,B,P,14.40,C,S
N.HHIH,8.74,B,P,14.71,C,S
N.MKWH,9.33,B,P,15.75,C,S
N.TMGH,10.10,B,P,99.99,*,S
N.OOCH,10.15,B,P,17.32,C,S
N.KSAH,10.72,B,P,18.18,C,S
N.MTMH,10.81,B,P,18.40,C,S
N.SYTH,11.69,B,P,19.85,C,S
N.TKJH,12.17,B,P,20.74,C,S
N.MIHH,12.23,B,P,20.89,C,S
N.TOHH,12.83,B,P,21.75,C,S
N.YSDH,13.51,B,P,23.17,C,S
N.TKUH,13.91,B,P,23.79,C,S
N.MTOH,16.09,B,P,27.38,C,S
N.NMKH,16.60,B,P,28.56,C,S
N.TBEH,18.10,B,P,30.50,C,S
N.HKTH,19.11,B,P,32.87,C,S
