obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.SKGH,2.73,B,P,4.52,C,S
N.KSBH,3.55,B,P,5.96,C,S
N.AKSH,4.06,B,P,6.79,C,S
N.YBRH,5.75,B,P,99.99,*,S
N.KWHH,6.00,B,P,10.21,C,S
N.MZKH,5.91,B,P,10.04,C,S
N.CHZH,6.87,B,P,11.64,C,S
N.SYOH,8.06,B,P,13.76,C,S
N.HINH,8.13,B,P,13.83,C,S
N.IAMH,8.56,B,P,14.24,C,S
N.MHSH,9.46,B,P,16.22,C,S
N.HKTH,9.43,B,P,16.08,C,S
N.OHAH,9.64,B,P,99.99,*,S
N.HKBH,9.84,B,P,16.72,C,S
N.TKBH,10.52,B,P,17.74,C,S
N.SGOH,10.78,B,P,18.44,C,S
N.TTAH,11.82,B,P,20.05,C,S
N.KMGH,12.31,B,P,21.10,C,S
