obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.KKGH,3.02,B,P,5.00,C,S
N.SGUH,4.04,B,P,6.73,C,S
N.YMSH,4.28,B,P,7.04,C,S
N.AIOH,4.67,B,P,7.75,C,S
N.KAMH,6.04,B,P,10.04,C,S
N.TJOH,6.41,B,P,10.72,C,S
N.NKOH,6.65,B,P,11.11,C,S
N.KMGH,6.60,B,P,11.08,C,S
N.HNSH,7.64,B,P,12.95,C,S
N.HAGH,7.83,B,P,13.16,C,S
N.OHAH,8.05,B,P,13.66,C,S
N.SNTH,9.07,B,P,15.22,C,S
N.UUMH,9.96,B,P,16.75,C,S
N.SYOH,10.20,B,P,17.45,C,S
N.SETH,10.44,B,P,17.74,C,S
N.CHZH,10.99,B,P,18.68,C,S
N.KNHH,11.18,B,P,18.78,C,S
N.TKBH,13.25,B,P,22.72,C,S
N.IAMH,14.70,B,P,24.84,C,S
N.TOKH,16.45,B,P,27.66,C,S
