obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MHRH,2.56,B,P,4.18,C,S
N.WKYH,5.74,B,P,9.67,C,S
N.UUMH,7.44,B,P,12.55,C,S
N.TJRH,8.20,B,P,13.72,C,S
N.OHCH,8.38,B,P,14.26,C,S
N.KKGH,8.36,B,P,14.20,C,S
N.TOKH,8.93,B,P,14.98,C,S
N.AIOH,9.25,B,P,15.61,C,S
N.HNSH,10.38,B,P,17.65,C,S
N.MKIH,10.31,B,P,17.41,C,S
N.HRKH,10.87,B,P,18.23,C,S
N.SGUH,11.13,B,P,18.78,C,S
N.KNHH,10.86,B,P,18.47,C,S
N.TJOH,11.33,B,P,19.09,C,S
N.KMGH,12.20,B,P,20.65,C,S
N.KAMH,13.68,B,P,23.11,C,S
N.TKBH,16.68,B,P,28.46,C,S
N.CHZH,18.27,B,P,31.40,C,S
