obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.MHRH,2.90,B,P,4.09,C,S
N.WKYH,3.95,B,P,6.57,C,S
N.TJRH,6.47,B,P,10.82,C,S
N.NKMH,8.41,B,P,14.15,C,S
N.KKGH,9.08,B,P,15.35,C,S
N.NAGH,9.25,B,P,15.84,C,S
N.HRKH,9.48,B,P,15.64,C,S
N.UUMH,9.11,B,P,15.46,C,S
N.TOKH,9.51,B,P,15.62,C,S
N.KNHH,9.64,B,P,16.15,C,S
N.TJOH,11.10,B,P,18.68,C,S
N.MKIH,11.81,B,P,20.05,C,S
N.HNSH,11.96,B,P,20.29,C,S
N.SGUH,12.20,B,P,20.56,C,S
N.YMSH,13.18,B,P,22.27,C,S
N.KAMH,14.05,B,P,23.73,C,S
