obs_name,wave1_traveltime,score_P,wavename_P,wave2_traveltime,score_S,wavename_S
N.HKTH,2.64,B,P,4.33,C,S
N.HINH,2.85,B,P,4.81,C,S
N.MZKH,3.74,B,P,6.15,C,S
N.NITH,4.76,B,P,7.84,C,S
N.SGOH,5.35,B,P,8.90,C,S
N.MHSH,5.94,B,P,10.23,C,S
N.YBRH,6.26,B,P,10.48,C,S
N.AKSH,6.33,B,P,10.49,C,S
N.KSIH,7.04,B,P,11.84,C,S
N.SKGH,7.11,B,P,11.95,C,S
N.KACH,7.04,B,P,11.97,C,S
N.TTAH,7.71,B,P,12.98,C,S
N.YSDH,8.00,B,P,13.48,C,S
N.HKBH,8.24,B,P,14.04,C,S
N.TKBH,11.40,B,P,19.40,C,S
N.BSEH,12.10,B,P,20.42,C,S
N.KSAH,12.63,B,P,21.35,C,S
N.SYOH,12.68,B,P,21.67,C,S
N.OOCH,12.77,B,P,21.89,C,S
N.HSMH,13.17,B,P,22.38,C,S
N.CHZH,13.44,B,P,23.03,C,S
N.KNBH,13.88,B,P,99.99,*,S
N.SETH,15.24,B,P,25.73,C,S
N.OHAH,15.42,B,P,26.27,C,S
N.IWAH,15.63,B,P,99.99,*,S
