N.KKGH    34.8166   134.8080  -0.0834
N.SGUH    34.9313   134.5423  -0.02992
N.YMSH    35.0322   134.6701  0.06
N.AIOH    34.7934   134.4797  -0.13992
N.KAMH    35.1006   134.9037  0.04508
N.TJOH    34.9082   135.0844  0.04
N.NKOH    35.0671   134.4234  0.102
N.KMGH    34.8995   134.3284  -0.02
N.HNSH    34.7283   134.2744  -0.10118
N.HAGH    35.2193   134.5237  0.265
N.OHAH    35.0999   134.3190  0.07953
N.SNTH    35.2925   134.9071  -0.02
N.UUMH    34.4572   134.3241  -0.41452
N.SYOH    35.0732   134.1162  -0.07147
N.SETH    34.7501   134.0702  -0.17057
N.CHZH    35.2604   134.2173  0.02953
N.KNHH    34.6628   135.3896  -1.99318
N.TKBH    34.8684   133.8527  0.22
N.IAMH    35.5729   134.3426  -0.13792
