N.OOCH    35.0918   132.5308  0.13955
N.SDAH    35.2243   132.7223  0.00908
N.YSDH    35.1634   132.8558  0.279
N.GOTH    35.0087   132.3069  -0.001
N.HIRH    35.4259   132.8007  -0.171
N.KACH    35.3422   132.8989  -0.05506
N.HSMH    34.8697   132.6396  0.06455
N.IWAH    34.8801   132.4207  0.20008
N.KTWH    34.9137   132.9123  0.239
N.NITH    35.2235   133.0856  0.23908
N.KNGH    34.8839   132.2026  0.05955
N.GEIH    34.7471   132.3794  0.612
N.KSIH    35.5232   133.0226  -0.08356
N.HKTH    35.2963   133.2604  0.06908
N.KSAH    34.7016   132.9524  0.234
N.SGOH    35.0493   133.3169  0.4635
N.MITH    34.6940   132.0402  0.08155
N.MHSH    35.5579   133.3004  -0.192
N.TTAH    34.9103   133.4055  0.33
N.HHIH    34.4572   132.7923  0.1334
N.HISH    34.4122   132.3907  -0.0516
N.SKIH    34.3935   132.1611  0.25
N.HKBH    34.9363   133.6205  0.11717
N.MIHH    34.3736   133.0236  -0.17147
N.YBRH    35.1809   133.6765  0.305
N.KURH    34.2882   132.6411  0.128
N.AKSH    35.4667   133.6307  -0.09445
N.TMGH    34.6257   131.6681  -0.09
N.BSEH    34.6756   133.5283  0.285
N.NMKH    34.3785   133.3493  -0.175
