N.YSHH    34.6629   132.6689  0.1784
N.HHIH    34.4572   132.7923  0.1334
N.DWAH    34.5482   132.9480  0.25948
N.KSAH    34.7016   132.9524  0.234
N.HSMH    34.8697   132.6396  0.06455
N.HRSH    34.5810   132.4295  0.20908
N.KTWH    34.9137   132.9123  0.239
N.MIGH    34.5183   133.1375  -0.041
N.GEIH    34.7471   132.3794  0.612
N.MIHH    34.3736   133.0236  -0.17147
N.KURH    34.2882   132.6411  0.128
N.HISH    34.4122   132.3907  -0.0516
N.IWAH    34.8801   132.4207  0.20008
N.MYKH    34.1918   133.0581  -0.0966
N.OOCH    35.0918   132.5308  0.13955
N.OKMH    34.2090   132.4063  -0.0616
N.KNGH    34.8839   132.2026  0.05955
N.SKIH    34.3935   132.1611  0.25
N.YSDH    35.1634   132.8558  0.279
N.NMKH    34.3785   133.3493  -0.175
N.KNBH    34.5566   133.4179  -0.18
N.MITH    34.6940   132.0402  0.08155
N.TTAH    34.9103   133.4055  0.33
N.SGOH    35.0493   133.3169  0.4635
N.MKWH    34.1974   131.9943  -0.135
N.HKTH    35.2963   133.2604  0.06908
N.TMGH    34.6257   131.6681  -0.09
N.TBEH    33.7112   132.8032  0.005
N.TKBH    34.8684   133.8527  0.22
N.MHSH    35.5579   133.3004  -0.192
