N.HISH    34.4122   132.3907  -0.0516
N.HRSH    34.5810   132.4295  0.20908
N.HHIH    34.4572   132.7923  0.1334
N.KURH    34.2882   132.6411  0.128
N.YSHH    34.6629   132.6689  0.1784
N.OKMH    34.2090   132.4063  -0.0616
N.TGUH    34.5716   132.2326  0.1614
N.DWAH    34.5482   132.9480  0.25948
N.GEIH    34.7471   132.3794  0.612
N.KRHH    34.1161   132.5053  0.0784
N.SKIH    34.3935   132.1611  0.25
N.MIHH    34.3736   133.0236  -0.17147
N.KSAH    34.7016   132.9524  0.234
N.HSMH    34.8697   132.6396  0.06455
N.IWAH    34.8801   132.4207  0.20008
N.MYKH    34.1918   133.0581  -0.0966
N.MITH    34.6940   132.0402  0.08155
N.KNGH    34.8839   132.2026  0.05955
N.MKWH    34.1974   131.9943  -0.135
N.TOHH    33.9291   132.4046  -0.0966
N.MICH    34.3904   131.8925  0.148
N.OOCH    35.0918   132.5308  0.13955
N.NMKH    34.3785   133.3493  -0.175
N.HKTH    35.2963   133.2604  0.06908
N.MTOH    34.2176   131.3597  0.04706
