N.MITH    184856.37B     1849 0.95C
N.IWAH    184856.50B     1849 1.06C
N.KURH    184856.91B     1849 1.93C
N.OKMH    184857.06B     1849 2.01C
N.HHIH    184857.01B     1849 1.99C
N.KNGH    184857.13B     1849 2.38C
N.HSMH    184857.26B     1849 2.53C
N.MICH    184858.45B     1849 4.62C
N.MKWH    184859.33B     1849 5.74C
N.KSAH    184859.38B     1849 6.08C
N.OOCH    1849 0.14B     1849 7.38C
N.MIHH    1849 0.44B     1849 8.00C
N.TMGH    1849 0.96B     185029.70*
N.SYTH    1849 1.18B     1849 9.17C
N.MTMH    1849 1.58B     1849 9.93C
N.TOHH    1849 1.63B     184910.04C
N.MYKH    1849 2.17B     184911.09C
N.TKJH    1849 2.40B     184911.63C
N.YSDH    1849 2.96B     184912.46C
N.NMKH    1849 4.79B     184915.83C
N.MTOH    1849 6.55B     184918.63C
N.TBEH    1849 6.27B     184918.14C
N.HKTH    1849 8.44B     184921.69C

N.TGUH    11 854.17B     11 856.24C
N.HRSH    11 854.66B     11 857.15C
N.GEIH    11 855.30B     11 858.27C
N.HISH    11 855.78B     11 859.00C
N.MITH    11 856.19B     11 859.74C
N.HIKH    11 856.23B     11 859.89C
N.SKIH    11 856.26B     11 859.92C
N.KNGH    11 857.07B     11 9 1.42C
N.IWAH    11 857.14B     11 9 1.55C
N.YSHH    11 857.51B     11 9 2.09C
N.HSMH    11 858.73B     11 9 4.19C
N.MICH    11 858.71B     11 9 4.28C
N.OKMH    11 858.98B     11 9 4.54C
N.KURH    11 859.32B     11 9 5.17C
N.HHIH    11 859.51B     11 9 5.48C
N.MKWH    11 9 0.10B     11 9 6.52C
N.TMGH    11 9 0.87B     111030.76*
N.OOCH    11 9 0.92B     11 9 8.09C
N.KSAH    11 9 1.49B     11 9 8.95C
N.MTMH    11 9 1.58B     11 9 9.17C
N.SYTH    11 9 2.46B     11 910.62C
N.TKJH    11 9 2.94B     11 911.51C
N.MIHH    11 9 3.00B     11 911.66C
N.TOHH    11 9 3.60B     11 912.52C
N.YSDH    11 9 4.28B     11 913.94C
N.TKUH    11 9 4.68B     11 914.56C
N.MTOH    11 9 6.86B     11 918.15C
N.NMKH    11 9 7.37B     11 919.33C
N.TBEH    11 9 8.87B     11 921.27C
N.HKTH    11 9 9.88B     11 923.64C

N.YSHH     22058.65B      221 1.28C
N.HSMH     22058.69B      221 1.47C
N.GEIH     221 0.21B      221 4.03C
N.IWAH     221 0.12B      221 3.83C
N.KSAH     221 0.51B      221 4.58C
N.HRSH     221 0.51B      221 4.56C
N.KTWH     221 0.75B      221 5.03C
N.DWAH     221 1.51B      221 6.19C
N.HHIH     221 1.51B      221 6.24C
N.OOCH     221 1.97B      221 7.12C
N.GOTH     221 2.27B      221 7.73C
N.KNGH     221 2.60B      221 8.35C
N.TGUH     221 2.68B      22234.58*
N.HISH     221 2.94B      221 8.72C
N.YSDH     221 3.41B      221 9.49C
N.KURH     221 3.91B      22110.48C
N.MIHH     221 4.17B      22110.90C
N.MITH     221 4.58B      22111.62C
N.SKIH     221 5.20B      22112.56C
N.OKMH     221 5.92B      22113.81C
N.KACH     221 6.41B      22114.70C
N.SGOH     221 6.43B      22114.80C
N.TTAH     221 6.73B      22115.55C
N.NMKH     221 7.49B      22116.92C
N.HKTH     221 8.40B      22118.19C
N.MKWH     221 9.21B      22119.36C
N.TMGH     221 9.89B      22120.99C
N.TKBH     22112.57B      22125.77C

N.KNBH     12636.33B      12638.56C
N.BSEH     12636.94B      12639.67C
N.MIGH     12638.18B      12641.73C
N.NMKH     12638.51B      12642.35C
N.MABH     12638.55B      12642.49C
N.JNSH     12638.73B      12642.76C
N.TTAH     12639.15B      12643.40C
N.KSAH     12640.41B      12645.58C
N.DWAH     12640.37B      12645.51C
N.OKYH     12640.48B      12645.79C
N.HKBH     12640.46B      12645.74C
N.MIHH     12640.72B      12645.75C
N.SGOH     12641.45B      12647.34C
N.TAMH     12641.37B      12647.50C
N.TKBH     12641.98B      12648.12C
N.MNOH     12642.58B      12649.54C
N.MYKH     12642.64B      12649.40C
N.HHIH     12642.78B      12649.71C
N.SETH     12643.97B      12651.87C
N.HSMH     12645.15B      12653.95C
N.HKTH     12645.57B      12654.56C
N.UUMH     12647.40B      12657.97C
N.OOCH     12648.38B      12659.48C
N.CHZH     12649.87B      127 2.11C
N.MHSH     12650.50B      127 3.15C
N.TBEH     12651.65B      12812.77*
N.SKIH     12651.79B      127 5.11C
N.TOKH     12653.76B      12812.77*

N.TGUH    135514.11B     135515.40C
N.SKIH    135515.06B     135516.94C
N.HIKH    135515.27B     135517.21C
N.MITH    135516.40B     135519.25C
N.HISH    135516.47B     135519.41C
N.HRSH    135516.66B     135519.60C
N.MICH    135517.51B     135521.12C
N.GEIH    135517.78B     135521.66C
N.IKNH    135518.77B     135523.14C
N.MKWH    135519.11B     135523.73C
N.KNGH    135519.35B     135524.23C
N.OKMH    135519.39B     135524.13C
N.IWAH    135520.13B     135525.58C
N.TMGH    135520.39B     135526.12C
N.MTMH    135520.84B     135526.89C
N.KURH    135520.98B     135526.91C
N.SYTH    135521.83B     135652.02*
N.TKJH    135521.94B     135528.80C
N.HHIH    135521.99B     135528.73C
N.HSMH    135522.03B     135528.92C
N.TOHH    135523.97B     135652.02*
N.TKUH    135523.88B     135652.02*
N.OOCH    135524.25B     135532.75C
N.KSAH    135524.83B     135533.34C
N.HGIH    135524.82B     135533.70C
N.KNSH    135525.42B     135534.54C
N.MIHH    135525.63B     135534.91C
N.MTOH    135525.97B     135535.73C
N.MYKH    135527.20B     135537.64C
N.TBEH    135542.40*     135652.02*
N.NMKH    135530.42B     135543.13C

N.DWAH     21614.08B      21616.25C
N.KSAH     21614.41B      21616.94C
N.MIGH     21615.32B      21618.48C
N.HHIH     21615.52B      21618.74C
N.MIHH     21616.08B      21619.64C
N.YSHH     21616.21B      21619.97C
N.JNSH     21617.08B      21621.44C
N.KTWH     21617.45B      21622.15C
N.HSMH     21618.23B      21623.45C
N.KNBH     21618.66B      21624.21C
N.KURH     21618.82B      21624.47C
N.NMKH     21618.73B      21624.57C
N.MYKH     21618.95B      21624.70C
N.HRSH     21619.18B      21625.08C
N.BSEH     21620.18B      21626.94C
N.TTAH     21620.39B      21627.14C
N.HISH     21620.50B      21627.13C
N.IWAH     21620.56B      21627.45C
N.SGOH     21621.21B      21628.63C
N.YSDH     21621.63B      21629.26C
N.OOCH     21622.07B      21630.10C
N.SKIH     21623.61B      21632.78C
N.HKTH     21624.57B      21634.18C
N.TKBH     21625.34B      21635.97C
N.MKWH     21627.00B      21638.49C
N.TMGH     21629.74B      21750.64*
  PPP
