5.000 5.110 12.430 5.850 14.760 10.000 5.740 6.430 6.070 5.080 6.060 7.700 3.160 4.230 3.950 3.020 3.610 4.300
5.000 5.120 11.280 14.860 13.100 10.000 5.360 7.420 7.230 6.920 7.180 7.740 3.270 4.130 4.060 4.060 3.950 4.670
5.000 5.170 12.480 10.730 7.310 10.000 5.250 6.160 5.770 5.140 7.840 7.860 3.160 3.520 3.390 2.930 4.430 4.500
5.000 5.380 8.410 5.980 7.770 10.000 5.090 6.780 6.190 7.200 7.990 7.670 3.140 4.140 3.680 4.460 4.490 4.610
5.000 5.420 14.710 11.170 11.780 10.000 5.050 7.920 7.130 6.400 5.960 7.670 3.250 4.360 4.240 4.050 3.410 4.460
5.000 5.430 7.720 11.080 10.910 10.000 5.350 5.520 7.310 5.670 5.500 7.890 3.090 3.200 4.220 3.160 3.040 4.470
5.000 5.470 6.170 9.700 12.120 10.000 5.130 6.610 5.720 5.690 6.860 7.910 3.020 4.310 3.730 3.620 4.060 4.610
5.000 5.500 13.810 8.790 10.020 10.000 5.280 6.940 6.310 5.680 7.350 7.660 3.130 3.960 3.480 3.280 4.210 4.240
5.000 5.510 12.780 12.810 9.370 10.000 5.350 5.300 7.310 6.050 5.110 7.780 3.090 3.140 4.140 3.480 3.250 4.380
5.000 5.590 13.820 6.950 9.320 10.000 5.190 6.400 6.880 6.650 5.420 7.750 3.000 4.030 3.810 4.190 2.980 4.670
5.000 5.620 6.920 9.370 14.060 10.000 5.080 6.520 6.460 6.830 6.970 7.750 3.060 4.080 3.770 4.450 3.840 4.580
5.000 5.660 10.390 6.870 9.060 10.000 5.300 6.940 6.010 5.390 7.150 8.100 3.160 4.020 3.580 3.560 3.980 4.550
5.000 5.720 7.580 12.410 14.040 10.000 5.350 7.160 5.020 6.160 6.460 7.810 3.020 4.350 3.210 3.840 4.300 4.400
5.000 5.810 7.420 7.470 6.410 10.000 5.700 5.420 6.990 6.760 6.120 7.720 3.120 3.110 4.220 4.420 3.680 4.350
5.000 5.830 10.940 9.630 8.770 10.000 5.180 5.010 6.720 6.790 6.000 7.730 3.280 2.750 4.300 4.190 3.530 4.280
5.000 5.840 13.580 8.340 8.150 10.000 5.590 7.250 6.120 5.060 6.530 7.810 3.060 4.180 3.770 2.920 3.700 4.630
5.000 5.860 9.260 14.630 10.460 10.000 5.700 5.170 6.690 5.020 7.390 7.990 3.170 3.040 4.370 2.810 4.150 4.400
5.000 5.910 12.420 13.500 13.890 10.000 5.560 6.930 6.940 6.200 7.240 7.840 3.140 3.860 3.990 3.610 4.410 4.610
5.000 5.980 11.880 14.390 10.360 10.000 5.440 6.190 7.320 6.350 5.130 7.950 3.240 3.960 4.040 3.720 3.280 4.630
5.000 5.990 11.310 7.010 9.090 10.000 5.380 6.920 6.630 6.540 6.970 7.600 3.010 3.900 3.860 3.840 3.920 4.460
5.000 6.120 13.660 7.280 8.280 10.000 5.180 5.210 5.530 7.220 6.470 7.660 3.200 2.850 3.060 4.310 3.770 4.560
5.000 6.150 12.920 9.190 12.810 10.000 5.620 5.490 5.590 5.220 5.780 7.930 3.170 3.570 3.480 3.230 3.300 4.550
5.000 6.240 6.370 12.820 8.340 10.000 5.470 6.960 7.070 6.130 6.420 7.830 3.110 4.060 4.260 4.010 4.100 4.290
5.000 6.250 6.380 13.290 13.410 10.000 5.670 5.580 6.950 6.140 5.160 7.710 3.110 3.410 4.430 3.740 3.010 4.620
5.000 6.260 9.350 6.060 13.850 10.000 5.550 6.140 5.340 6.250 5.740 7.970 3.050 3.640 3.020 3.590 3.710 4.640
5.000 6.370 10.320 10.690 5.320 10.000 5.520 5.840 5.310 6.700 5.540 7.700 3.170 3.380 2.920 3.790 3.060 4.630
5.000 6.410 9.210 11.810 14.140 10.000 5.120 7.210 6.310 6.930 5.930 8.040 3.290 4.080 3.580 4.320 3.890 4.500
5.000 6.490 6.880 7.490 7.660 10.000 5.920 6.980 6.650 6.560 5.600 7.790 3.290 4.350 4.180 3.950 3.290 4.630
5.000 6.680 8.650 10.400 5.280 10.000 5.060 6.860 6.210 7.130 6.140 7.870 3.150 4.480 3.560 3.990 3.370 4.530
5.000 6.780 9.600 11.770 10.880 10.000 5.700 5.340 7.730 6.740 5.780 7.990 3.290 3.460 4.420 4.010 3.640 4.400
